@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
119,'2016/10/31 19:17:05:656',2,0.039063,0.934722,1,0,1
120,'2016/10/31 19:17:05:676',2,0.039063,0.934722,1,0,1
121,'2016/10/31 19:17:05:696',2,0.039063,0.934722,1,0,1
122,'2016/10/31 19:17:05:716',2,0.039063,0.934722,1,0,1
123,'2016/10/31 19:17:05:736',2,0.039063,0.934722,1,0,1
124,'2016/10/31 19:17:05:756',2,0.039063,0.934722,1,0,1
125,'2016/10/31 19:17:05:776',2,0.039063,0.934722,1,0,1
126,'2016/10/31 19:17:05:796',2,0.039063,0.934722,1,0,1
127,'2016/10/31 19:17:05:816',2,0.039063,0.934722,1,0,1
128,'2016/10/31 19:17:05:836',2,0.039063,0.934722,1,0,1
129,'2016/10/31 19:17:05:856',2,0.039063,0.934722,1,0,1
130,'2016/10/31 19:17:05:876',2,0.039063,0.934722,1,0,1
131,'2016/10/31 19:17:05:896',2,0.039063,0.934722,1,0,1
132,'2016/10/31 19:17:05:916',2,0.039063,0.934722,1,0,1
133,'2016/10/31 19:17:05:936',2,0.039063,0.934722,1,0,1
134,'2016/10/31 19:17:05:956',2,0.051562,0.9375,1,0,1
135,'2016/10/31 19:17:05:981',2,0.063281,0.940278,1,0,1
136,'2016/10/31 19:17:05:998',2,0.073437,0.940278,1,0,1
137,'2016/10/31 19:17:06:016',2,0.085938,0.936111,1,0,1
138,'2016/10/31 19:17:06:036',2,0.117969,0.888889,1,0,1
139,'2016/10/31 19:17:06:056',2,0.13125,0.854167,1,0,1
140,'2016/10/31 19:17:06:076',2,0.1375,0.820833,1,0,1
141,'2016/10/31 19:17:06:096',2,0.138281,0.788889,1,0,1
142,'2016/10/31 19:17:06:116',2,0.132813,0.763889,1,0,1
143,'2016/10/31 19:17:06:136',2,0.108594,0.733333,1,0,1
144,'2016/10/31 19:17:06:156',2,0.094531,0.726389,1,0,1
145,'2016/10/31 19:17:06:176',2,0.080469,0.722222,1,0,1
146,'2016/10/31 19:17:06:196',2,0.06875,0.725,1,0,1
147,'2016/10/31 19:17:06:216',2,0.057031,0.7375,1,0,1
148,'2016/10/31 19:17:06:236',2,0.041406,0.768056,1,0,1
149,'2016/10/31 19:17:06:256',2,0.028125,0.808333,1,0,1
150,'2016/10/31 19:17:06:276',2,0.025781,0.841667,1,0,1
151,'2016/10/31 19:17:06:296',2,0.025781,0.851389,1,0,1
152,'2016/10/31 19:17:06:316',2,0.032031,0.872222,1,0,1
153,'2016/10/31 19:17:06:336',2,0.048437,0.890278,1,0,1
154,'2016/10/31 19:17:06:356',2,0.097656,0.902778,1,0,1
155,'2016/10/31 19:17:06:376',2,0.114844,0.897222,1,0,1
156,'2016/10/31 19:17:06:396',2,0.133594,0.880556,1,0,1
157,'2016/10/31 19:17:06:418',2,0.142969,0.870833,1,0,1
158,'2016/10/31 19:17:06:436',2,0.149219,0.856944,1,0,1
159,'2016/10/31 19:17:06:456',2,0.152344,0.841667,1,0,1
160,'2016/10/31 19:17:06:477',2,0.139062,0.791667,1,0,1
161,'2016/10/31 19:17:06:496',2,0.126563,0.773611,1,0,1
162,'2016/10/31 19:17:06:516',2,0.107031,0.752778,1,0,1
163,'2016/10/31 19:17:06:536',2,0.0875,0.740278,1,0,1
164,'2016/10/31 19:17:06:556',2,0.06875,0.738889,1,0,1
165,'2016/10/31 19:17:06:576',2,0.053906,0.738889,1,0,1
166,'2016/10/31 19:17:06:596',2,0.039844,0.768056,1,0,1
167,'2016/10/31 19:17:06:616',2,0.034375,0.795833,1,0,1
168,'2016/10/31 19:17:06:636',2,0.034375,0.833333,1,0,1
169,'2016/10/31 19:17:06:656',2,0.036719,0.861111,1,0,1
170,'2016/10/31 19:17:06:676',2,0.05,0.904167,1,0,1
171,'2016/10/31 19:17:06:696',2,0.075,0.943056,1,0,1
172,'2016/10/31 19:17:06:717',2,0.091406,0.948611,1,0,1
173,'2016/10/31 19:17:06:736',2,0.109375,0.95,1,0,1
174,'2016/10/31 19:17:06:756',2,0.128125,0.936111,1,0,1
175,'2016/10/31 19:17:06:776',2,0.142188,0.922222,1,0,1
176,'2016/10/31 19:17:06:796',2,0.150781,0.908333,1,0,1
177,'2016/10/31 19:17:06:816',2,0.160156,0.873611,1,0,1
178,'2016/10/31 19:17:06:836',2,0.160938,0.845833,1,0,1
179,'2016/10/31 19:17:06:856',2,0.158594,0.822222,1,0,1
180,'2016/10/31 19:17:06:876',2,0.147656,0.798611,1,0,1
181,'2016/10/31 19:17:06:897',2,0.132813,0.781944,1,0,1
182,'2016/10/31 19:17:06:916',2,0.096094,0.773611,1,0,1
183,'2016/10/31 19:17:06:936',2,0.080469,0.773611,1,0,1
184,'2016/10/31 19:17:06:956',2,0.067188,0.784722,1,0,1
185,'2016/10/31 19:17:06:976',2,0.055469,0.805556,1,0,1
186,'2016/10/31 19:17:06:996',2,0.046875,0.830556,1,0,1
187,'2016/10/31 19:17:07:016',2,0.038281,0.868056,1,0,1
188,'2016/10/31 19:17:07:036',2,0.034375,0.944444,1,0,1
